Course Number,Name,Units
15453,"Formal Languages, Automata, and Computability",9.0
15456,Computational Geometry,9.0
15463,Computational Photography,12.0
15466,Computer Game Programming,12.0
15539,Computer Science Pedagogy,12.0
15605,Operating System Design and Implementation,15.0
15611,Compiler Design,15.0
15612,Operating System Practicum,
15619,Cloud Computing,12.0
15622,Introduction to Computer Music,12.0
15637,Web Application Development,12.0
15640,Distributed Systems,12.0
15641,Computer Networks,12.0
15645,Database Systems,12.0
15649,Seminar 1,
15657,Constructive Logic,9.0
15663,Computational Photography,12.0
15666,Computer Game Programming,12.0
15681,Artificial Intelligence: Representation and Problem Solving,12.0
15746,Storage Systems,12.0
15814,Types and Programming Languages,12.0
15829,Performance Engineering of Software Systems,12.0
15852,Computational Geometry,12.0
15862,Computational Photography,12.0
15883,Computational Models of Neural Systems,12.0
93717,Writing for Creative Industries,6.0
93808,Exhibitions Management,6.0
93813,Arts Facilities Management,6.0
93814,Galleries and Auction Houses: Economics of the Art Market,6.0
93816,"Future Tenant:  Strategy, Planning and Research Lab",
93828,Advanced Topics in Fundraising,6.0
93831,Law and the Arts,12.0
51173,Human Experience in Design,9.0
51225,Communications Studio I: Understanding Form & Context,4.5
51231,Calligraphy I,9.0
51232,Calligraphy II,9.0
51245,Products Studio I: Understanding Form & Context,4.5
51261,Communication Design Fundamentals: Design for Interactions for Communications,9.0
51265,Environments Studio I: Understanding Form & Context,4.5
51331,Advanced Calligraphy I,9.0
51332,Advanced Calligraphy II,9.0
51621,Designing Civic Conversations,12.0
51631,Design Thinking for Complex Systems,6.0
51673,Human Experience in Design,12.0
51801,Design Thesis,21.0
51831,Methodology of Visualization,12.0
67102,Concepts of Information Systems,9.0
67211,Introduction to Business Systems Programming,6.0
67240,Mobile Web Design & Development,9.0
67262,Database Design and Development,9.0
67327,Web Application Security,6.0
67328,Mobile to Cloud: Building Distributed Applications,9.0
67329,Contemporary Themes in Global Systems,9.0
67352,Electronic Business,9.0
67354,Information Systems and Sustainability,9.0
66102,DC Freshman Seminar: Issues in American Environmental History,9.0
66108,DC Freshman Seminar: Statistical Paradoxes:  When You Can't Trust Your Own Eyes,9.0
66161,DC Freshman Seminar: Artificial Intelligence and Humanity,9.0
66202,Pathways: Dietrich College Career Exploration Seminar,5.0
66221,Topics of Law: Introduction to Intellectual Property Law,9.0
54011,Warmup,1.0
54105,Voice/Alexander I,5.0
54107,Movement I,4.0
54110,Text for Actors,2.0
54125,Music Skills I,4.0
54151,Stagecraft,13.0
54159,Production Practicum,6.0
54163,Production for Non Majors,6.0
54175,Conservatory Hour,1.0
54177,Foundations of Drama I,6.0
54187,Introduction to Playwriting,9.0
54191,Acting for Non-Majors,9.0
54193,Intro to Screenwriting,9.0
54200,Dramaturgy Forum,1.0
54203,Voice and Speech II,5.0
54205,Ballet II,3.0
54207,Movement II,
54211,Actor Dance II,3.0
54213,Singing for Actors II,3.0
54217,Jazz II,2.0
54223,Tap II,2.0
54229,Valiant Hindenburg,9.0
54239,History of Architecture and Decor 1: Ancients to Gothic,
54257,Directing: Production II,6.0
54264,Welding,4.0
54275,History of Sound Design,3.0
54281,Foundations of Drama II,6.0
54285,Alexander Technique Tutorials,1.5
54299,Dramaturgy Production:Assistant,9.0
54300,Dramaturgy Research Hours,6.0
54305,Voice/Alexander III,5.0
54307,Movement III,5.0
54309,Dialects and Accents,6.0
54311,Rehearsal and Performance III,
54323,Tap III,2.0
54327,Auditioning for the Stage,2.0
54333,Production Personnel Management,6.0
54341,Fundamentals of Costume Design,9.0
54357,Directing: Production III,12.0
54361,Production Preparation,
54375,Robotics for Creative Practice,12.0
54381,Brecht & Beyond,6.0
54387,Dramaturgy : Production I,9.0
54411,Matchmaker,16.0
54415,Broadway Dance Styles,5.0
54447,Figure Drawing,3.0
54453,Production Management Workshop,3.0
54457,Directing: Production IV,12.0
54487,Dramaturgy: Production II,12.0
54505,Ear Training,1.0
54525,Entertainment Lighting Programming,4.0
54587,Dramaturgy Production III,
54701,Graduate Introduction to Screenwriting,9.0
54715,Graduate History of Sound Design,3.0
54739,Graduate History of Architecture and Decor 1: Ancients to Gothic,
54741,Graduate Fundamentals of Costume Design,9.0
54757,Graduate Directing: New Works,10.0
54781,Graduate Stage Management I,3.0
54789,Graduate Production Personnel Management,6.0
54802,Emerging Technologies in Sound Design,9.0
54819,Graduate Figure Drawing,3.0
54857,Graduate Directing: Directors' Series Second Year,10.0
54859,Graduate Production Management Workshop,3.0
54861,Production Preparation Grad,
54864,Graduate Welding,4.0
54893,Dramatic Writing Thesis,9.0
54905,Graduate Ear Training,1.0
54939,Graduate Entertainment Lighting Programming,4.0
54957,Graduate Directing: Directors Series Third Year Production,
73100,Principles of Economics,9.0
73102,Principles of Microeconomics,9.0
73210,Economics Colloquim I,3.0
73230,Intermediate Microeconomics,9.0
73240,Intermediate Macroeconomics,9.0
73270,Strategic Professional Communication for Economists,9.0
73347,Game Theory for Economists,9.0
73348,Behavioral Economics,9.0
73374,Econometrics II,9.0
73476,American Economic History,9.0
18100,Introduction to Electrical and Computer Engineering,12.0
18202,Mathematical Foundations of Electrical Engineering,12.0
18213,Introduction to Computer Systems,12.0
18240,Structure and Design of Digital Systems,12.0
18290,Signals and Systems,12.0
18340,Digital Computation,12.0
18370,Fundamentals of Control,12.0
18413,Nano-Bio-Photonics,12.0
18422,Digital Integrated Circuit Design,12.0
18492,Speech Processing,12.0
18600,Foundations of Computer Systems,12.0
18601,Entrepreneurship and Innovation in Technology,12.0
18613,Nano-Bio-Photonics,12.0
18618,Smart Grids and Future Electric Energy Systems,12.0
18622,Digital Integrated Circuit Design,12.0
18631,Introduction to Information Security,12.0
18638,Mobile Security,12.0
18639,Policies of the Internet,12.0
18645,How to Write Fast Code,12.0
18648,Embedded Real-Time Systems,12.0
18652,Foundations of Software Engineering,12.0
18654,Software Verification and Testing,12.0
18655,Service Oriented Computing,12.0
18656,Data Intensive Workflow Development for Software Engineers,12.0
18697,Statistical Discovery and Learning,12.0
18715,Physics of Applied Magnetism,12.0
18730,Introduction to Computer Security,12.0
18734,Foundation of Privacy,12.0
18743,Energy Aware Computing,12.0
18746,Storage Systems,12.0
18749,Building Reliable Distributed Systems,12.0
18751,Applied Stochastic Processes,12.0
18756,Packet Switching and Computer Networks,12.0
18758,Wireless Communications,12.0
18771,Linear Systems,12.0
18781,Speech Recognition and Understanding,12.0
18794,Pattern Recognition Theory,12.0
18797,Machine Learning for Signal Processing,12.0
18799,Network Science: Modeling and Inference,12.0
18847,Foundations of Cloud and Machine Learning Infrastructure,12.0
18859,Wireless Networks and Mobile Systems: DARPA Spectrum Grand Challenge Edition,12.0
18883,Electric Power System Basics for the Non Power Professional,6.0
19301,Decision Making Methods for Engineers and Scientists,9.0
19427,Special Topics: Energy Innovation and Entrepreneurship,9.0
19440,Combustion and Air Pollution Control,9.0
19461,Invention & Innovation for Materials Intensive Technologies Part 1,4.5
19462,Invention Innovation for Materials Intensive Technologies Part 2,4.5
19466,Spec Topic: Stochastic Discrete Choice Models: Estimation and Behavioral Theory,9.0
19608,"Privacy Policy, Technology, and Law",12.0
19627,Special Topics: Energy Innovation and Entrepreneurship,12.0
19638,Smart Grids and Future Electric Energy Systems,12.0
19639,Policies of the Internet,12.0
19684,Engineering and Technology Innovation Management in Practice,6.0
19687,Principles and Practices of R&D; Management,6.0
19692,Special Topics: Strategic Marketing and Product Management for Tech Innovations,12.0
19705,Workshop Applied Policy Analysis,6.0
19740,Combustion and Air Pollution Control,12.0
19786,Spec Topic: Stochastic Discrete Choice Models: Estimation and Behavioral Theory,12.0
76100,Reading and Writing in an Academic Context,9.0
76101,Interpretation and Argument,9.0
76102,Writing about Sports and Culture,9.0
76205,Jane Austen,9.0
76239,Introduction to Film Studies,9.0
76247,Shakespeare: Comedies and Romances,9.0
76260,Survey of Forms: Fiction,9.0
76269,Survey of Forms: Screenwriting,9.0
76270,Writing for the Professions,9.0
76271,Introduction to Professional and Technical Writing,9.0
76295,Introduction to Russian Culture: 19th Century Russian Masterpieces,9.0
76300,Professional Seminar,3.0
76302,Writing in the Disciplines,9.0
76311,Acting Out in the London Theatre,9.0
76315,TBA,9.0
76324,Topics in Rhetoric:  Language and Place,9.0
76335,20th and 21st Century American Fiction,9.0
76337,Representations of Islam in Early Modern England,9.0
76338,The American Cinema,9.0
76363,TBA,9.0
76366,Essay Writing Workshop,9.0
76372,News Writing,9.0
76373,TBA,9.0
76389,Rhetorical Grammar,9.0
76391,TBA,12.0
76462,Advanced Fiction Workshop,9.0
76481,TBA,12.0
76484,TBA,9.0
76700,Professional Seminar,3.0
76702,Writing in the Disciplines,
76735,20th and 21st Century American Fiction,12.0
76738,The American Cinema,12.0
76766,Essay Writing Workshop,9.0
76772,News Writing,9.0
76773,Argument,
76789,Rhetorical Grammar,9.0
76854,Introduction to Literary and Cultural Studies,12.0
76881,TBA,12.0
76884,TBA,
76898,Introduction to Marxism,6.0
76899,Introduction to Media Studies,6.0
76904,ESL Practicum I,
53312,Guest Experience in Theme Park Design,12.0
53352,Designing Achilles in a Video Game,9.0
53451,Research Issues in Game Development,10.0
53604,Production and Leadership,12.0
53612,Guest Experience in Theme Park Design,12.0
53613,Experience Design,12.0
53642,Themed Entertainment Design Studio,12.0
53711,Improvisational Acting,9.0
53731,Technical Art in Games,12.0
53751,Research Issues in Game Development,10.0
53752,Desiging Achilles in a Video Game,9.0
53760,Drone Visual Storytelling,12.0
53886,Why Typography Matters in New Media,12.0
65411,QSSS Proseminar 1,3.0
94700,Organizational Design & Implementation,6.0
94701,Business English,6.0
94702,Professional Writing,6.0
94707,Principles of Marketing,6.0
94739,Capstone Project,
94800,Negotiation,6.0
94803,Consulting Lab,6.0
94804,Transformational Leadership,6.0
94808,Management Consulting,12.0
94810,Introduction to Supply Chain Management and Systems,6.0
94812,Technology and International Development,6.0
94813,Project Management,6.0
94814,Evidence-Based Management,6.0
94823,Measuring Social,12.0
94824,Creating Results-Oriented Programs,6.0
94828,Survey Design,6.0
94833,Decision Analysis and Multicriteria Decision Making,6.0
94834,Applied Econometrics I,6.0
94835,Applied Econometrics II,6.0
94840,Lean Entrepreneurship,6.0
94842,Programming R for Analytics,6.0
94845,Smart Cities: Growth and Intelligent Transportation Systems,6.0
94850,The Science of Growth,6.0
94854,Developing as a Leader,6.0
94872,Muslims in a Global Context:  Muslim Migrations:  Pre-Modern Era,3.0
94873,Designing Civic Conversations,12.0
94874,Design Thinking for Complex Systems,6.0
79104,"The Best Worst Form of Government,  Democracy through the Ages",9.0
79211,Introduction to Southeast Asia,9.0
79221,Development and Democracy in Latin America,9.0
79229,"Origins of the Arab-Israeli Conflict, 1880-1948",9.0
79236,"Coming to America: The View from New York City, Past and Present",6.0
79240,Development of American Culture,9.0
79254,1968: The Year Everything Changed (in the U.S. and around the world),9.0
79261,"The Last Emperors: Chinese History and Society, 1600-1900",9.0
79277,"From Venice to Chicago: How the ""Ghetto"" Came to America and Became Black",6.0
79294,Islam on the Main Street in the West since the 18th Century,9.0
79296,Religion in American Politics,6.0
79299,"From Newton to the Nuclear Bomb: History of Science, 1750-1950",9.0
79315,"The Politics of Water: Global Controversies, Past and Present",9.0
79316,"Photography, the First 100 Years, 1839-1939",9.0
79330,Medicine and Society,9.0
79359,"Truth, Propaganda, and ""Alternative Facts"": A Historical Inquiry",9.0
79395,The Arts in Pittsburgh,9.0
79418,Introduction to Russian Culture: 19th Century Russian Masterpieces,9.0
79703,Transnational Proseminar,12.0
5341,Organizational Communication,9.0
5391,Designing Human-Centered Software,12.0
5392,Interaction Design Overview,9.0
5410,User-Centered Research and Evaluation,12.0
5430,PUI Lecture,15.0
5431,SSUI Lecture,15.0
5434,Machine Learning in Practice,12.0
5499,Crowd Computing,12.0
5600,HCI Pro Seminar,6.0
5610,User-Centered Research and Evaluation,12.0
5630,PUI LECTURE,15.0
5631,SSUI lecture,15.0
5651,Interaction Design Studio 1,12.0
5814,Perception,9.0
5816,Applied Research Methods,12.0
5823,E-Learning Design Principles and Methods,12.0
5834,Applied Machine Learning,12.0
5891,Designing Human Centered Software,12.0
5899,Crowd Computing,12.0
4330,Fundamentals of Software Development and Problem Solving,12.0
4605,MSIT Second-Year Seminar,6.0
4611,Strategic Use of Digital Information in Enterprise,12.0
4641,Fundamentals of Telecommunications and Computer Networks,12.0
4800,Applied Computer Vision,12.0
4801,Internet of Things,6.0
14740,Fundamentals of Telecommunications Networks,12.0
14741,Introduction to Information Security,12.0
14774,Managerial Economics,6.0
14775,Business Management,6.0
14798,INI MSIT Project Practicum,24.0
14815,Entrepreneurship and Innovation in Technology,12.0
14829,Mobile Security,12.0
14848,Special Topics: Cloud Computing Infrastructure and Applications,12.0
14850,Special Topics: Cybersecurity Research Seminar,12.0
95703,Database Management,12.0
95705,Telecommunications Management,12.0
95706,Object Oriented Analysis and Design,6.0
95710,Economic Analysis,6.0
95712,Object Oriented Programming in JAVA,12.0
95713,Intermediate Java II,6.0
95715,Financial Accounting,6.0
95716,Principles of Finance,6.0
95717,Writing for Information Systems Management,6.0
95719,Accounting and Finance Foundations,6.0
95722,Digital Transformation,6.0
95729,"E-Commerce Tech, Analytics, and Bots",6.0
95733,Internet of Things,6.0
95736,Advanced Relational Database Management,6.0
95737,NoSQL Database Management,6.0
95743,Cybersecurity Policy and Governance II,6.0
95744,Cybersecurity Policy and Governance I,6.0
95752,Introduction to Information Security Management,12.0
95760,Decision Making Under Uncertainty,6.0
95771,Data Structures and Algorithms,12.0
95775,IT Business Leadership,6.0
95791,Data Mining,6.0
95796,Statistics for IT Managers,6.0
95797,Data Warehousing,6.0
95799,Linux and Open Source,6.0
95801,Data Mining Techniques,6.0
95808,IT Project Management,6.0
95813,Intermediate Database Management,6.0
95831,Enterprise Architectures,6.0
95855,Network Situational Awareness,12.0
95865,Unstructured Data Analytics,6.0
95871,Mobile Application Development Project,12.0
95874,Agile Methods,6.0
95880,Python for Developers,6.0
95881,Web Application Development,6.0
95882,Enterprise Web Development,6.0
95883,Ethical Penetration Testing,6.0
95884,Network Defenses,6.0
95885,Data Science and Big Data,12.0
95887,Cloud Computing for Business,6.0
95888,Data Focused Python,6.0
95900,Internship,
84326,Theories of International Relations,9.0
84333,"Power and Levers for Change in Washington, DC",12.0
84334,Presidential Power in a Constitutional System,6.0
84346,Legal Issues in Public Administration,6.0
84386,The Privatization of Force,9.0
84388,Concepts of War and Cyber War,6.0
84405,"Future of Warfare: Cyber, Violent Non-State Actors & Conflict in the Gray Zone",9.0
84450,Policy Forum,6.0
84605,"Future of Warfare: Cyber, Violent Non-State Actors & Conflict in the Gray Zone",12.0
84686,The Privatization of Force,12.0
84688,Concepts of War and Cyber War,6.0
84736,Analytical Social Science and National Security,6.0
84765,Advanced Research Methods,12.0
8532,Law of Computer Technology,9.0
8604,Foundations of Privacy,12.0
8606,Privacy by Design Project Workshop,6.0
8632,Law of Computer Technology,6.0
8671,Java for Application Programmers,6.0
8672,J2EE Web Application Development,6.0
8722,Data Structures for Application Programmers,6.0
8725,Social Software Engineering,6.0
8732,Law of Computer Technology,12.0
49700,Engineering Design Fundamentals,6.0
49701,Industrial Design Fundamentals,6.0
49712,User Research Methods,6.0
49716,Special Topics: Experience Innovation,12.0
49730,Design for Manufacture,6.0
49731,Design for the Environment,6.0
49750,Software Product Definition,12.0
49751,Requirements Analysis,12.0
49760,Foundations of Software Management,12.0
49761,Elements of Software Management,12.0
49770,Metrics for Software Managers,12.0
49774,Product Management,12.0
49775,The First-Time Manager,12.0
49780,Human Computer Interaction & User Experience,12.0
49786,Software Engineering Management,12.0
49787,Special Topics:  Architecture & Programming Principles,12.0
49800,Commercializing Intellectual Property,12.0
49802,Innovation & Entrepreneurship I,6.0
49803,Innovation & Entrepreneurship II,6.0
49808,Special Topics: Integrated Innovation for Large-Scale Problems,12.0
49853,Product Management,6.0
49854,Business Models and Strategy,6.0
49855,Venture Governance: The Role of the Board of Directors and Advisory Boards,6.0
11291,Applied Computational Intelligence Lab,9.0
11344,Machine Learning in Practice,12.0
11492,Speech Processing,12.0
11631,Seminar in Data Science,12.0
11632,Data Science Analytics Capstone,24.0
11661,Language & Statistics,12.0
11663,Applied Machine Learning,12.0
11676,Big Data Analytics,12.0
11691,Mathematical Foundations for Data Science,12.0
11692,Speech Processing,12.0
11711,Algorithms for NLP,12.0
11747,Neural Networks for NLP,12.0
11751,Speech Recognition and Understanding,12.0
11761,Language & Statistics,12.0
11777,Advanced Multimodal Machine Learning,12.0
11792,Intelligent Information Systems Project,12.0
38101,EUREKA: Discovery and Its Impact,6.0
10601,Introduction to Machine Learning (Master's),12.0
10605,TBA,12.0
10707,Topics in Deep Learning,12.0
10709,Fundamentals of Learning from the Crowd,12.0
10715,Advanced Introduction to Machine Learning,12.0
10805,Machine Learning with Large Datasets,12.0
27201,Structure of Materials,9.0
27211,Structure of Materials (Minor Option),6.0
27324,Introduction to Polymer Science and Engineering,9.0
27411,Engineering Biomaterials,9.0
27432,"Electronic and Thermal Properties of Metals, Semiconductors and Related Devices",9.0
27501,Invention & Innovation for Materials Intensive Technologies Part 1,4.5
27502,Invention and Innovation for Materials Intensive Technologies Part 2,4.5
27709,Engineering Biomaterials,12.0
27731,SPECIAL TOPICS: Hard and Superhard Materials,6.0
27774,Graduate Seminar,0.0
27798,Thermodynamics I,6.0
27799,Thermodynamics II,6.0
21112,Calculus II,10.0
21120,Differential and Integral Calculus,10.0
21122,Integration and Approximation,10.0
21127,Concepts of Mathematics,10.0
21128,Mathematical Concepts and Proofs,12.0
21228,Discrete Mathematics,9.0
21235,Mathematical Studies Analysis I,12.0
21240,Matrix Algebra with Applications,10.0
21241,Matrices and Linear Transformations,10.0
21242,Matrix Theory,10.0
21257,Models and Methods for Optimization,9.0
21259,Calculus in Three Dimensions,9.0
21260,Differential Equations,9.0
21268,Multidimensional Calculus,10.0
21295,Putnam Seminar,3.0
21300,Basic Logic,9.0
21301,Combinatorics,9.0
21341,Linear Algebra,9.0
21355,Principles of Real Analysis I,9.0
21369,Numerical Methods,9.0
21370,Discrete Time Finance,9.0
21371,Functions of a Complex Variable,9.0
21441,Number Theory,9.0
21484,Graph Theory,9.0
21602,Introduction to Set Theory I,12.0
21610,Algebra I,12.0
21620,Real Analysis,6.0
