Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Fall,2015,TERRANCE MURPHY,CMY,9105,INTRO MOD CHEMSTRY I,W,Lect,7,14,50%,12.29,4.71,4.14,4.43,4.29,4.86,4.43,4.57,4.57,4.29
Summer,2014,CHARLES HENDERSON,CMY,9105,INTRO MOD CHEMSTRY I,E,Lect,3,8,38%,13,5,4.33,4.67,4.67,4.33,4.33,4.67,4.67,4.5
Summer,2014,CHARLES HENDERSON,CMY,9105,INTRO MOD CHEMSTRY I,U,Lect,3,11,27%,11,5,5,5,5,5,5,5,5,5
Spring,2014,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,55,70,79%,9.22,4.27,4.15,4.07,3.94,3.89,4.08,4.54,4.02,3.83
Fall,2014,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,72,133,54%,9,4.18,4.07,3.96,3.58,3.72,3.94,4.39,3.82,3.81
Fall,2014,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,2,Lect,62,106,58%,9.63,4,3.82,3.77,3.54,3.76,3.74,4.08,3.66,3.52
Fall,2014,TERRANCE MURPHY,CMY,9105,INTRO MOD CHEMSTRY I,3,Lect,9,19,47%,12.13,4.56,4.11,4.22,3.89,4.44,4.11,4.75,4.33,4.44
Summer,2013,CHARLES HENDERSON,CMY,9105,INTRO MOD CHEMSTRY I,E,Lect,6,12,50%,10.5,4.67,3.83,4.5,4.33,5,4.17,4.67,4.5,4.5
Summer,2013,CHARLES HENDERSON,CMY,9105,INTRO MOD CHEMSTRY I,U,Lect,8,16,50%,9.63,4.88,3.75,4,4.13,4.63,4.13,5,4.25,3.88
Spring,2013,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,46,95,48%,9.09,3.57,3.54,3.57,3.13,3.28,3.13,4.09,3,3
Fall,2013,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,128,138,93%,10.2,3.79,3.67,3.65,3.34,3.57,3.26,4.05,3.39,3.39
Fall,2013,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,2,Lect,89,96,93%,10.22,4.01,3.77,3.67,3.26,3.62,3.29,4.2,3.36,3.17
Fall,2013,TERRANCE MURPHY,CMY,9105,INTROMODCHEMSTRYI,3,Lect,18,21,86%,13.59,4.5,4.67,4.65,4,4.72,4.59,4.89,4.47,4.67
Summer,2012,CHARLES HENDERSON,CMY,9105,INTRO MOD CHEMSTRY I,E,Lect,6,8,75%,10,4.83,4,3.83,4.17,4,4.17,4.5,4.33,4.33
Summer,2012,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,S,Lect,5,16,31%,12.2,4.2,4.4,4.2,4,4.4,4.4,4.6,4.4,4
Spring,2012,PAUL KAROL,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,49,86,57%,5.87,3.53,3.47,3.29,3.08,3.51,3.12,4.35,3.06,3.04
Fall,2012,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,93,159,58%,9.15,3.65,3.56,3.48,3.1,3.53,3.15,4.04,3.23,3.23
Fall,2012,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,2,Lect,66,116,57%,8.84,3.65,3.52,3.32,3.12,3.35,3.06,4.12,3.11,2.88
Fall,2012,TERRANCE MURPHY,CMY,9105,INTRO MOD CHEMSTRY I,3,Lect,12,18,67%,7.75,5,4.83,4.67,4.83,4.83,4.83,5,4.83,4.75
Fall,2012,TERRANCE MURPHY,CMY,9105,INTRO MOD CHEMSTRY I,W,Lect,12,18,67%,8.27,5,4.92,4.82,4.82,4.91,4.91,4.91,4.91,4.73
Summer,2011,KELLY CHACON-MADRID,CMY,9105,INTRO MOD CHEMSTRY I,E,Lect,3,7,43%,10,4.33,4.33,4,4.33,3.67,4,5,3.67,4
Spring,2011,PAUL KAROL,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,53,103,51%,6.18,3.51,3.6,3.55,3.04,3.47,3.29,4.42,3.08,2.92
Fall,2011,PAUL KAROL,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,81,141,57%,6.65,3.38,3.41,3.23,2.93,3.33,2.98,4.26,2.86,2.99
Fall,2011,PAUL KAROL,CMY,9105,INTRO MOD CHEMSTRY I,2,Lect,57,93,61%,7.62,3.75,3.7,3.63,3.32,3.93,3.35,4.45,3.25,3.33
Summer,2010,CHARLES HENDERSON,CMY,9105,INTRO MOD CHEMSTRY I,E,Lect,1,6,17%,11,5,5,4,3,5,4,5,4,4
Summer,2010,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,S,Lect,5,16,31%,11.6,4.4,4.2,3.8,3.2,4.2,3.4,5,3.6,3.4
Spring,2010,PAUL KAROL,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,72,124,58%,5.92,3.86,4.14,3.83,3.39,3.96,3.56,4.42,3.58,3.53
Fall,2010,PAUL KAROL,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,86,155,55%,6.92,3.83,3.83,3.67,3.4,3.84,3.37,4.31,3.37,3.38
Fall,2010,PAUL KAROL,CMY,9105,INTRO MOD CHEMSTRY I,2,Lect,63,99,64%,6.6,3.52,3.83,3.56,3.06,3.63,3.3,4.3,3.24,3.27
Spring,2016,DAVID YARON,CMY,9106,MODERN CHEMISTRY II,1,Lect,64,116,55%,7.97,3.89,3.72,3.72,3.47,3.66,3.33,4.38,3.33,3.41
Spring,2016,"MURPHY, T. (co-taught)",CMY,9106,MODERN CHEMISTRY II,W,Lect,13,15,87%,13.15,4.46,3.92,4.08,3.77,4.46,3.92,4.23,4.08,4.15
Spring,2016,"BACHU, R. (co-taught)",CMY,9106,MODERN CHEMISTRY II,W,Lect,13,15,87%,12.58,4.46,4.46,4.31,3.85,4.31,4.46,4.85,4.31,4.38
Fall,2016,GARY PATTERSON,CMY,9106,MODERN CHEMISTRY II,1,Lect,55,82,67%,6.81,4.33,3.45,3.51,3.69,4.04,3.33,3.53,3.36,3.53
Summer,2015,LEONARD VUOCOLO,CMY,9106,MODERN CHEMISTRY II,S,Lect,4,7,57%,19.75,4.5,4,3.75,3.5,3.75,3.25,5,3.75,3.25
Spring,2015,DAVID YARON,CMY,9106,MODERN CHEMISTRY II,1,Lect,76,136,56%,8.24,3.75,3.67,3.63,3.21,3.69,3.33,4.26,3.17,3.39
Spring,2015,TERRANCE MURPHY,CMY,9106,MODERN CHEMISTRY II,2,Lect,9,11,82%,13.11,5,4.89,4.78,4.67,4.89,4.89,5,4.78,4.67
Fall,2015,DAVID YARON,CMY,9106,MODERN CHEMISTRY II,1,Lect,51,65,78%,7.78,4.02,3.96,4.14,3.83,3.98,4,4.36,3.84,3.86
Summer,2014,LEONARD VUOCOLO,CMY,9106,MODERN CHEMISTRY II,E,Lect,2,3,67%,20.5,4,4.5,5,4,4,3.5,5,4,4
Spring,2014,DAVID YARON,CMY,9106,MODERN CHEMISTRY II,1,Lect,78,124,63%,7.74,3.69,3.59,3.42,2.99,3.49,2.86,4.22,2.83,3.35
Spring,2014,TERRANCE MURPHY,CMY,9106,MODERN CHEMISTRY II,2,Lect,13,13,100%,12.31,4.62,4.54,4.54,4.5,4.54,4.62,4.92,4.77,4.69
Fall,2014,DAVID YARON,CMY,9106,MODERN CHEMISTRY II,1,Lect,35,54,65%,7.74,4.11,4.06,4.03,3.69,4.11,3.97,4.6,3.74,3.74
Spring,2013,DAVID YARON,CMY,9106,MODERN CHEMISTRY II,1,Lect,80,150,53%,9.7,3.66,3.82,3.78,3.33,3.88,3.52,4.36,3.44,3.69
Spring,2013,TERRANCE MURPHY,CMY,9106,MODERN CHEMISTRY II,2,Lect,7,11,64%,10.57,4.86,4.57,4.43,4.57,4.86,4.29,4.86,4.57,4.57
Fall,2013,DAVID YARON,CMY,9106,MODERN CHEMISTRY II,1,Lect,24,49,49%,8.75,3.75,3.87,3.96,3.75,3.88,3.5,4.21,3.38,3.83
Spring,2012,LEONARD VUOCOLO,CMY,9106,MODERN CHEMISTRY II,1,Lect,56,100,56%,9.82,3.86,3.95,3.93,3.21,3.7,3.64,4.27,3.59,3.45
Fall,2012,DAVID YARON,CMY,9106,MODERN CHEMISTRY II,1,Lect,31,57,54%,7.6,4,3.9,3.9,3.29,3.94,3.81,4.48,3.6,3.7
Spring,2011,LEONARD VUOCOLO,CMY,9106,MODERN CHEMISTRY II,1,Lect,68,126,54%,8.84,4.13,4.19,4,3.67,3.76,3.93,4.18,3.78,3.68
Fall,2011,LEONARD VUOCOLO,CMY,9106,MODERN CHEMISTRY II,1,Lect,22,51,43%,9.09,4.23,4.23,4.09,3.95,3.95,3.95,4.41,3.86,3.55
Fall,2011,TERRANCE MURPHY,CMY,9106,MODERN CHEMISTRY II,2,Lect,4,4,100%,8.75,4.5,4.25,4.25,4.25,4.75,4.5,4.75,4.25,4.25
Spring,2010,LEONARD VUOCOLO,CMY,9106,MODERN CHEMISTRY II,1,Lect,76,142,54%,8.92,4.01,4.11,4.04,3.34,3.7,3.7,4,3.49,3.46
Spring,2010,TERRANCE MURPHY,CMY,9106,MODERN CHEMISTRY II,2,Lect,2,3,67%,8,3.5,4,4,4.5,4.5,4,4.5,3.5,3.5
Fall,2010,LEONARD VUOCOLO,CMY,9106,MODERN CHEMISTRY II,1,Lect,28,49,57%,8.96,4.11,4.25,4.11,3.61,4.11,3.86,4.5,3.82,3.79
Fall,2016,NEWELL WASHBURN,CMY,9107,HONORS CHEMISTRY,1,Lect,28,49,57%,9.04,4.32,4.21,4.21,4.14,4.5,4.39,4.82,4.25,4.29
Fall,2015,NEWELL WASHBURN,CMY,9107,HONORS CHEMISTRY,1,Lect,28,41,68%,10.04,4.25,4.11,4.25,3.86,4.43,4,4.79,3.86,4.14
Fall,2014,NEWELL WASHBURN,CMY,9107,HONORS CHEMISTRY,1,Lect,33,46,72%,8.78,4.18,4.39,4.21,3.73,4.33,3.85,4.67,3.85,4.3
Fall,2013,NEWELL WASHBURN,CMY,9107,HONORS CHEMISTRY,1,Lect,31,40,78%,7.74,4.65,4,3.94,4.06,4.26,3.84,4.84,3.94,3.9
Fall,2012,DAVID YARON,CMY,9107,HONORS CHEMISTRY,1,Lect,25,44,57%,7.25,4.32,4,4.16,3.44,4.24,3.88,4.68,3.76,3.84
Fall,2011,DAVID YARON,CMY,9107,HONORS CHEMISTRY,1,Lect,20,32,63%,7.7,4.15,4.2,4.25,4.05,4.3,3.9,4.5,4.05,4.15
Fall,2010,DAVID YARON,CMY,9107,HONORS CHEMISTRY,1,Lect,19,32,59%,7.37,4.37,4.05,4,3.84,4.47,4.37,4.74,4.16,4.21
Fall,2016,GLORIA SILVA,CMY,9108,ILLUSION MAGIC FOOD,A1,Lect,11,19,58%,4.73,4.18,3.82,3.82,4.18,4,3.64,4.18,3.82,3.55
Fall,2016,SUBHA DAS,CMY,9109,KTCHEN CHEMTRY SESSN,A1,Lect,9,13,69%,4.67,4.56,4.67,4.56,4.22,4.67,4.67,4.56,4.44,4.44
Fall,2014,SUBHA DAS,CMY,9109,KTCHEN CHEMTRY SESSN,A1,Lect,10,13,77%,5.9,4.6,3.7,4.4,3.4,4.4,4.3,4.7,4.1,4.2
Fall,2014,SUBHA DAS,CMY,9109,KTCHEN CHEMTRY SESSN,B1,Lect,7,9,78%,5.43,4.14,3.71,4.14,4,4,4,4,3.86,4
Fall,2013,SUBHA DAS,CMY,9109,KTCHEN CHEMTRY SESSN,A1,Lect,14,21,67%,4.36,4.79,4.36,4.5,4.43,4.79,4.57,4.86,4.5,4.5
Fall,2012,SUBHA DAS,CMY,9109,KTCHEN CHEMTRY SESSN,A1,Lect,9,18,50%,6,4.44,3.44,4.44,3.78,4.44,4,4.67,4,4
Fall,2012,SUBHA DAS,CMY,9109,KTCHEN CHEMTRY SESSN,B1,Lect,7,11,64%,4.5,3.83,2.83,3.17,3.17,3.5,3.5,3.5,3.33,3
Fall,2010,SUBHA DAS,CMY,9109,KTCHEN CHEMTRY SESSN,A1,Lect,9,15,60%,5.67,4.56,3.78,4.44,4.22,4.89,4.67,5,4.56,4.56
Fall,2010,SUBHA DAS,CMY,9109,KTCHEN CHEMTRY SESSN,B1,Lect,8,13,62%,5,4.5,4.13,4.38,4.25,4.63,4.38,4.88,4.25,4.75
Fall,2016,GLORIA SILVA,CMY,9122,MLCR TLS BLG CMY STD,1,Lect,8,11,73%,7.63,4.13,3.13,3.75,3.63,4,4,4.63,3.63,3.75
Fall,2015,GLORIA SILVA,CMY,9122,MLCR TLS BLG CMY STD,1,Lect,7,11,64%,6.29,4.57,4.14,3.86,4.43,4.14,4.29,4.86,4.43,4.14
Spring,2014,GLORIA SILVA,CMY,9122,MLCR TLS BLG CMY STD,1,Lect,5,6,83%,5,4.8,4.4,3.8,4.4,4.6,4.2,4.8,4.6,4.6
Spring,2014,GLORIA SILVA,CMY,9122,MLCR TLS BLG CMY STD,A,Lect,4,6,67%,6,5,4.67,4.67,4.33,4.33,4.33,4.67,4.33,4.33
Spring,2016,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,A,Lect,9,13,69%,5.33,4,3.56,3.56,3.56,3.22,3.33,3.56,3.33,2.89
Spring,2016,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,B,Lect,9,10,90%,3,4.22,4.44,4.33,4.22,4,4.11,4.67,4,3.44
Spring,2016,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,C,Lect,5,11,45%,3.8,3.8,3.4,3.2,3,3.4,3.8,4.4,3.6,2.8
Spring,2015,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,A,Lect,4,8,50%,4.25,4.25,4.25,4.25,3.5,3.75,3.25,4.75,3.75,3.25
Spring,2015,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,B,Lect,6,14,43%,2.5,3.83,3.5,3.67,3.5,3.17,3.5,4.33,3.33,3.17
Spring,2015,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,C,Lect,4,6,67%,4.25,4.25,3.75,3.25,3.75,3.25,3.5,4.75,3.75,3
Spring,2014,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,A,Lect,6,14,43%,3,4.5,4.33,4.17,4.33,4.33,4.17,4.5,4.17,4.17
Spring,2014,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,B,Lect,9,17,53%,2.67,4.22,3.67,3.78,3.78,3.67,3.56,4.22,3.88,3
Spring,2014,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,C,Lect,9,15,60%,5,4.33,4,4,3.78,4,4.11,4.22,3.56,3.56
Spring,2013,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,A,Lect,8,15,53%,2.75,4,3.88,3.63,3.75,3.25,3.63,3.88,3.63,3.38
Spring,2013,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,B,Lect,7,18,39%,2.43,4.71,4.86,4.57,4.71,4.57,4.29,4.86,4.71,3.86
Spring,2012,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,C,Lect,8,15,53%,2.38,4.13,4.5,4.5,4,4,4,4.5,3.88,3.63
Spring,2012,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,D,Lect,6,14,43%,2.5,3.83,4.33,4,3.67,3.83,3.83,4.33,4.17,3.33
Spring,2011,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,A,Lect,7,13,54%,2.86,4,4.29,4.14,4.14,3.71,4.14,4.14,4.29,3.71
Spring,2011,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,B,Lect,6,12,50%,2,4,3.83,4.17,3.5,4,4,4.5,4,3.67
Spring,2011,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,C,Lect,5,13,38%,3.2,4.8,4.6,4.4,4.4,4,4.6,5,4.4,3.6
Spring,2010,LEONARD VUOCOLO,CMY,9204,PRFL COMM SKLS CHMST,C,Lect,10,15,67%,2.6,4.4,4.4,4.6,4.1,4.3,4,4.5,4,3.6
Fall,2016,GIZELLE SHERWOOD,CMY,9207,TECH QUANT ANAL,1,Lect,44,65,68%,12.57,4.05,3.5,3.73,3.55,3.73,3.61,3.66,3.64,3.45
Fall,2016,RAVICHANDRA BACHU,CMY,9207,TECH QUANT ANAL,W,Lect,13,16,81%,15.38,4.17,4.08,3.92,3.46,4,4.31,4.38,3.92,3.69
Fall,2016,SUBHA DAS,CMY,9209,KITCHEN CHMSTY SESSN,A1,Lect,5,8,63%,5.6,4.4,4.2,4,3.4,4.4,3.6,4.8,4.2,4.4
Fall,2013,SUBHA DAS,CMY,9209,KITCHEN CHMSTY SESSN,A1,Lect,8,13,62%,5.38,4.63,4.25,4.63,4.63,4.63,4.5,4.75,4.5,4.63
Spring,2016,GIZELLE SHERWOOD,CMY,9214,PHYSICAL CHEMISTRY,1,Lect,6,10,60%,8.6,4.67,4.83,4.33,4.67,4.17,4.67,5,4.5,4.17
